date,Battery (Charging) -  GWh,Pumps -  GWh,Coal (Brown) -  GWh,Coal (Black) -  GWh,Bioenergy (Biomass) -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Gas (Waste Coal Mine) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Wind (Curtailment) -  GWh,Solar (Utility) (Curtailment) -  GWh,Coal (Brown) Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Coal (Brown) Market Value - AUD,Coal (Black) Market Value - AUD,Bioenergy (Biomass) Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Gas (Waste Coal Mine) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2000-11-01,0.00,-67.66,4267.73,8484.06,0.00,8.40,259.37,225.91,160.03,0.00,0.00,0.00,381.48,0.00,0.00,0.00,0.00,0.00,5437268.59,7870912.33,0.00,8866.29,148920.73,130623.19,117013.01,0.00,0.00,999.58,0.00,0.00,1257400.85,145064156.92,299883290.57,0.00,503360.98,17232303.01,10557317.92,8908120.30,0.00,0.00,0.00,15023210.26,0.00,0.00,0.00
2000-12-01,0.00,-106.32,4688.75,8589.35,0.00,5.36,227.49,265.23,119.25,0.00,0.00,0.00,375.24,0.00,0.00,0.00,0.00,0.00,5977287.03,7943015.73,0.00,5611.21,130831.80,144587.08,93069.13,0.00,0.00,1009.18,0.00,0.00,2048082.61,118234324.10,285060886.42,0.00,669110.95,10490628.44,9055965.84,7032469.66,0.00,0.00,0.00,12972169.77,0.00,0.00,0.00
2001-01-01,0.00,-142.38,4669.38,8828.59,0.00,5.06,466.37,346.30,158.21,0.00,0.00,0.00,508.25,0.00,0.00,0.00,0.00,0.00,5978554.77,8158656.32,0.00,5523.14,265052.12,176084.52,125411.07,0.00,0.00,991.21,0.00,0.00,3336741.19,251631218.11,604712855.07,0.00,2181280.55,56026028.33,26366445.59,22907786.65,0.00,0.00,0.00,84870298.35,0.00,0.00,0.00
2001-02-01,0.00,-124.79,4303.32,8276.60,0.00,2.38,425.69,359.49,123.34,0.00,0.00,0.00,456.66,0.00,0.00,0.00,0.00,0.00,5528067.41,7652759.89,0.00,2741.31,240860.86,178081.52,96271.68,0.00,0.00,991.04,0.00,0.00,2586171.82,183092642.21,275973894.89,0.00,558929.40,32250211.56,18121963.17,8929001.70,0.00,0.00,0.00,22652437.90,0.00,0.00,0.00
2001-03-01,0.00,-107.92,4498.59,8823.56,0.00,1.89,322.15,415.28,123.10,0.00,0.00,0.00,477.90,0.00,0.00,0.00,0.00,0.00,5788077.17,8232136.45,0.00,1986.34,181641.70,206127.45,96621.06,0.00,0.00,996.71,0.00,0.00,2382125.97,143554747.22,353224823.23,0.00,713191.81,13790354.79,18025541.73,9194009.00,0.00,0.00,0.00,21644525.09,0.00,0.00,0.00
2001-04-01,0.00,-68.24,4360.05,8173.15,0.00,0.06,242.86,348.81,82.94,0.00,0.00,0.00,373.70,0.00,0.00,0.00,0.00,0.00,5573247.47,7581964.92,0.00,59.73,138018.99,171515.62,60920.09,0.00,0.00,1000.92,0.00,0.00,1479405.87,122772603.11,252265214.78,0.00,10945.83,9350078.73,11753964.23,3150572.10,0.00,0.00,0.00,12534924.47,0.00,0.00,0.00
2001-05-01,0.00,-32.36,4434.67,8942.95,0.00,0.18,413.48,423.93,56.59,0.00,0.00,0.00,663.21,0.00,0.00,0.00,0.00,0.00,5639723.94,8285223.98,0.00,183.16,231089.56,212254.93,45419.95,0.00,0.00,967.20,0.00,0.00,810321.08,152284732.26,334096602.64,0.00,11579.70,16826530.88,16892978.16,2722091.52,0.00,0.00,0.00,26867438.08,0.00,0.00,0.00
2001-06-01,0.00,-23.85,4550.13,8883.23,0.00,0.35,344.92,426.00,89.27,0.00,0.00,0.00,575.30,0.00,0.00,0.00,0.00,0.00,5815254.64,8248891.94,0.00,370.26,194268.05,210048.37,61072.81,0.00,0.00,978.75,0.00,0.00,517770.27,135451692.59,294868501.79,0.00,27211.56,12366897.40,15356069.87,3103724.27,0.00,0.00,0.00,19493870.96,0.00,0.00,0.00
2001-07-01,0.00,-26.58,4812.89,9501.57,0.00,0.01,321.03,420.90,91.56,0.00,0.00,0.00,486.45,0.00,0.00,0.00,0.00,0.00,6150439.50,8810869.63,0.00,6.42,182219.45,210348.16,58318.75,0.00,0.00,987.47,0.00,0.00,493803.43,184472075.66,272829920.98,0.00,177.89,19985145.12,20143673.39,3871120.98,0.00,0.00,0.00,16384277.63,0.00,0.00,0.00
2001-08-01,0.00,-29.50,4872.91,9236.46,0.00,0.75,301.84,514.10,98.98,0.00,0.00,0.00,429.15,0.00,0.00,0.00,0.00,0.00,6229809.59,8553077.38,0.00,834.87,171224.93,248347.61,64486.43,0.00,0.00,989.83,0.00,0.00,547812.40,310966504.71,306170277.28,0.00,20869.06,24261334.07,32161285.07,6166503.98,0.00,0.00,0.00,28783907.26,0.00,0.00,0.00
